ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX43516,Adonis\AS-419,Mr. Frank Hampton,M,2001-05-07,2021-11-15,2022-04-08,1,Paraguay,United States,7789.05,1,0,2,1959.43
IDZZ48514,Omega\OG-479,Ms. Esther George,F,2008-10-30,2021-09-26,2021-11-16,0,Jordan,Western Sahara,4868.83,2,0,2,768.82
IDXX39931,Adonis\AS-112,Ms. Ann Glass,F,2015-06-04,2021-09-08,2022-04-26,0,Iraq,Réunion,6178.56,1,0,1,923.14
IDYY03715,Calisto\CS-482,Ms. Melanie Villafana,F,1992-05-07,2021-03-12,2021-08-01,1,Mongolia,Iran,4502.03,2,1,2,925.15
IDZZ74730,Omega\OG-644,Mr. Danny Guttman,M,1991-02-27,2021-09-02,2022-05-27,1,Mexico,Laos,14485.06,1,0,1,1273.56
IDZZ27875,Omega\OG-870,Mr. Clyde Ruiz,M,1997-02-23,2021-11-17,2021-12-28,1,Jersey,Djibouti,5838.58,1,0,2,1116.7
IDYY56296,Calisto\CS-786,Ms. Virginia Ballard,F,2002-12-17,2021-03-10,2021-12-18,1,Guernsey,Switzerland,854.6,2,0,2,430.1
IDZZ11465,Omega\OG-200,Ms. Donna Mcbroom,F,2012-10-05,2021-01-15,2021-02-25,0,Colombia,Uruguay,4570.21,0,1,2,860.75
IDXX41764,Adonis\AS-670,Ms. Lois Walsh,F,2004-23-02,2021-10-21,2022-01-02,1,Samoa,Antigua and Barbuda,12588.0,1,0,2,2921.61
IDZZ02373,Omega\OG-897,Ms. Sarah Voeltner,F,1984-12-03,2021-12-12,2022-05-19,1,Venezuela,Niger,8180.37,0,0,2,1507.69
IDYY03840,Calisto\CS-302,Mr. Larry Early,M,1987-05-05,2021-04-01,2022-01-01,1,Réunion,Japan,10768.76,2,0,2,2019.66
IDYY69320,Calisto\CS-026,Mr. Nicholas Thomas,M,2006-09-19,2021-08-30,2021-12-17,0,Niger,Samoa,19608.18,1,1,2,3091.85
IDYY60994,Calisto\CS-574,Ms. Margo Gorsky,F,2008-12-24,2021-01-04,2021-04-30,0,Denmark,Bouvet Island,12333.8,2,0,2,2152.98
IDYY93242,Calisto\CS-711,Mr. William Laster,M,2018-12-27,2021-07-12,2022-03-09,0,Croatia,Martinique,7794.55,0,0,1,1043.75
IDXX34874,Adonis\AS-108,Mr. Michael Mcdevitt,M,1993-09-24,2021-12-19,2022-02-14,1,Russia,Palestinian Territories,5890.48,2,1,2,1324.0
IDXX24806,Adonis\AS-877,Ms. Miriam Griffy,F,2001-05-27,2021-05-21,2021-06-08,1,Ecuador,Austria,10374.35,1,1,2,2224.92
IDZZ68754,Omega\OG-693,Mr. David Ashby,M,1994-08-25,2021-03-08,2021-10-01,1,Bahrain,Guinea-Bissau,7041.13,0,0,1,940.0
IDXX59624,Adonis\AS-633,Mr. Ian Johnson,M,2020-08-06,2021-08-21,2022-06-18,0,Azerbaijan,Namibia,7644.73,2,0,2,1721.42
IDZZ61560,Omega\OG-124,Ms. Leslie Goyette,M,1988-07-13,2021-12-16,2022-11-05,1,Côte d'Ivoire,Guyana,5911.93,1,1,2,1001.92
IDYY07466,Calisto\CS-621,Ms. Marina Colon,F,2007-10-26,2021-05-26,2022-03-31,0,Liechtenstein,Canada,7088.77,2,1,3,679.47
IDXX60739,Adonis\AS-989,Mr. Christopher Dobbs,M,2012-04-13,2021-11-28,2022-02-20,0,Ukraine,Latvia,1043.83,2,1,2,369.34
IDXX50168,Adonis\AS-428,Mr. Charles Schnell,M,2003-03-03,2021-05-11,2021-10-02,1,Solomon Islands,Puerto Rico,14911.19,2,0,2,3272.53
IDYY60457,Calisto\CS-994,Mr. Joseph Twyman,M,2005-06-14,2021-03-09,2021-11-22,1,United States,Marshall Islands,9814.22,2,1,1,979.89
IDYY04458,Calisto\CS-333,Mr. John Morse,M,1983-07-26,2021-10-13,2022-09-03,1,Latvia,Luxembourg,1450.78,1,0,2,664.64
IDYY27799,Calisto\CS-588,Ms. Elaine Goodson,F,1997-05-19,2021-05-08,2021-11-18,1,Tonga,Jordan,16732.2,2,1,1,1470.71
IDZZ31586,Omega\OG-995,Mr. Jason Ingram,M,2008-06-22,2021-04-05,2021-09-24,0,Bulgaria,Lebanon,1339.1,1,0,2,453.38
IDZZ41440,Omega\OG-432,Mr. Henry Kraft,M,1992-03-08,2021-06-02,2022-04-08,1,Monaco,Mauritania,3048.24,2,0,1,488.6
IDZZ08035,Omega\OG-627,Mr. Sam Fulmer,M,2018-09-14,2021-01-12,2021-06-15,0,United States,Cook Islands,9336.49,0,1,2,1381.65
IDZZ13324,Omega\OG-081,Mr. Adan Swims,M,1980-11-13,2021-04-22,2021-10-19,1,Turkmenistan,United Kingdom,4908.99,2,1,1,537.53
IDYY35902,Calisto\CS-491,Mr. Richard Wirtz,M,2017-05-16,2021-03-25,2021-08-05,0,Greece,Latvia,1992.43,2,0,2,494.75
IDZZ64198,Omega\OG-306,Ms. Joanne Nicholson,F,1984-07-27,2021-08-19,2022-07-21,1,Saint Lucia,United Kingdom,6724.66,2,0,1,697.84
