ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX92603,Adonis\AS-897,Mr. Tyrone White,M,2014-01-13,2021-06-16,2022-04-04,0,Guernsey,Georgia,3588.71,2,1,1,501.67
IDZZ62422,Omega\OG-523,Mr. Jack Whitten,M,2001-08-06,2021-11-03,2021-12-09,1,Thailand,Andorra,9576.34,0,0,2,1665.86
IDZZ18746,Omega\OG-458,Ms. Ashley Ellinger,F,1996-05-05,2021-08-08,2022-07-28,1,Oman,Belize,14239.03,1,0,1,1259.21
IDXX84364,Adonis\AS-518,Mr. George Hollingsworth,M,2000-11-23,2021-04-05,2021-04-26,1,Cambodia,Haiti,16513.79,1,1,2,3329.54
IDXX78534,Adonis\AS-940,Mr. Arthur Desanctis,M,2018-10-13,2021-08-11,2022-02-24,0,Saint Vincent and the Grenadines,Micronesia,15846.87,1,0,1,1881.99
IDYY71925,Calisto\CS-778,Mr. Larry Melton,M,1981-04-25,2021-12-08,2022-05-27,1,Samoa,Lithuania,15224.17,2,1,2,2461.57
IDZZ11372,Omega\OG-017,Mr. Adam Sanford,M,2013-08-25,2021-08-21,2022-01-28,0,British Indian Ocean Territory,Samoa,12623.68,2,0,2,
IDXX95572,Adonis\AS-228,Ms. Ola Rice,F,1988-01-02,2021-09-01,2022-07-07,1,Libya,Trinidad and Tobago,8350.11,2,1,1,1027.43
IDZZ62673,Omega\OG-649,Ms. Danette Medrano,F,1980-08-18,2021-11-14,2022-04-06,1,Dominica,Belgium,6998.16,1,0,2,1253.73
IDXX21535,Adonis\AS-790,Mr. Gary West,M,1995-01-21,2021-05-19,2021-09-29,1,Netherlands,Barbados,7153.01,0,0,2,1924.49
IDYY02779,Calisto\CS-455,Ms. Bernice Collins,F,1997-12-20,2021-11-19,2022-03-19,1,Uganda,Suriname,9821.35,2,0,2,1872.18
IDXX55431,Adonis\AS-907,Ms. Whitney Strickland,F,2008-05-02,2021-02-20,2021-11-06,0,Guinea-Bissau,Italy,4295.91,2,0,2,1053.59
IDYY97972,Calisto\CS-420,Mr. James Jones,M,1989-11-18,2021-02-09,2021-11-16,1,French Southern Territories,Romania,11436.31,2,0,1,1225.67
IDXX95701,Adonis\AS-202,Mr. John Boyd,M,2004-08-19,2021-03-31,2022-03-28,1,Hungary,Cocos [Keeling] Islands,10076.94,1,0,1,
IDXX80925,Adonis\AS-389,Mr. Gary James,M,2013-05-17,2021-02-18,2021-05-19,0,Vietnam,Palau,2964.72,0,1,2,901.82
IDYY39225,Calisto\CS-302,Ms. Amanda Hall,F,1982-12-07,2021-08-05,2021-08-11,1,Fiji,Somalia,14781.18,1,0,2,2787.48
IDYY27261,Calisto\CS-499,Mr. Tommy Hodson,M,1984-12-08,2021-06-16,2021-11-13,1,Sweden,Nepal,5960.45,2,0,2,1261.9
IDYY46719,Calisto\CS-582,Mr. James Shelton,M,2009-10-05,2021-12-09,2022-04-09,0,Lebanon,Morocco,3995.6,0,1,2,947.53
IDYY37815,Calisto\CS-260,Ms. Amanda Perry,F,2019-11-15,2021-12-24,2022-02-16,0,Puerto Rico,Bhutan,14374.9,1,0,2,2598.54
IDZZ97598,Omega\OG-320,Mr. Johnny Boothe,M,1999-04-12,2021-12-15,2021-12-28,1,Belize,Albania,10246.48,2,0,2,1527.45
IDZZ73908,Omega\OG-349,Mr. Mervin Jaculina,M,2001-07-11,2021-10-07,2021-11-07,1,United Kingdom,Sudan,5553.54,1,1,3,1272.11
IDYY65367,Calisto\CS-668,Ms. Anna Burnett,F,2011-08-09,2021-01-29,2021-10-10,0,Côte d'Ivoire,Czech Republic,5096.86,2,1,2,896.54
IDXX56270,Adonis\AS-442,Ms. Sarah Carson,F,2017-03-05,2021-10-12,2021-11-06,0,Réunion,Cambodia,6579.1,1,1,3,2045.17
IDXX01824,Adonis\AS-246,Ms. Elizabeth Simmons,F,2005-12-04,2021-11-21,2022-10-23,1,Uruguay,Guadeloupe,5553.03,2,1,2,1267.78
IDZZ85130,Omega\OG-984,Ms. Ayana Elliott,F,2005-10-27,2021-01-09,2021-06-26,0,Estonia,Japan,7817.83,2,1,2,1009.22
IDZZ75714,Omega\OG-346,Mr. Robert Dewitt,M,1996-01-24,2021-12-01,2022-01-28,1,Kuwait,San Marino,3491.36,1,0,2,826.39
IDXX74389,Adonis\AS-712,Ms. Mary Irby,F,1981-07-10,2021-12-21,2022-02-22,1,Panama,Somalia,13958.2,2,1,2,2788.62
IDXX84856,Adonis\AS-398,Mr. Ramon Spurlock,M,1982-10-09,2021-02-13,2022-01-02,1,Burkina Faso,Antigua and Barbuda,6485.78,0,0,2,
IDYY45587,Calisto\CS-871,Mr. Ralph Austin,M,1994-04-19,2021-03-18,2021-07-28,1,Kiribati,Oman,14806.8,2,1,2,
IDXX14255,Adonis\AS-690,Mr. Edward Greeson,M,1980-04-07,2021-08-22,2021-12-28,1,Singapore,Barbados,17588.39,1,0,2,3922.68
IDYY21580,Calisto\CS-616,Ms. Sandra Sheppard,F,1990-01-13,2021-03-01,2021-05-02,1,Oman,Cuba,13092.07,1,1,2,2253.09
IDZZ31096,Omega\OG-051,Ms. Tina Murphy,F,1985-08-12,2021-01-21,2021-10-24,1,China,Romania,6483.35,2,1,2,
IDZZ07173,Omega\OG-683,Mr. Michael Bowen,M,2015-04-10,2021-09-24,2022-05-06,0,Greenland,Libya,6207.79,1,1,1,602.3
IDYY41581,Calisto\CS-440,Ms. Mattie Menefee,F,2000-11-23,2021-10-07,2022-03-21,1,Oman,Costa Rica,14422.83,2,0,2,2609.13
IDXX91516,Adonis\AS-760,Mr. Anthony Ouellette,M,2012-05-03,2021-07-15,2021-12-19,0,Saint Kitts and Nevis,Cambodia,16445.14,2,1,2,3135.97
IDXX67933,Adonis\AS-519,Ms. Ruth Jernberg,F,2008-10-29,2021-10-12,2022-07-13,0,Jamaica,Rwanda,11901.58,1,0,1,1489.66
IDYY11287,Calisto\CS-703,Mr. Brian Salisbury,M,2014-11-09,2021-12-02,2022-02-23,0,Brazil,Cuba,4880.5,1,0,2,1080.87
IDZZ67012,Omega\OG-488,Ms. Virginia Tobar,F,2003-02-06,2021-03-21,2021-08-21,1,Vietnam,Ireland,10421.47,1,1,2,1490.94
IDZZ67456,Omega\OG-220,Ms. Deborah Campbell,F,2009-11-22,2021-07-19,2022-03-02,0,Samoa,Comoros,15147.66,1,1,1,1085.45
IDZZ82200,Omega\OG-606,Mr. Brian Dover,M,1988-05-06,2021-04-04,2021-07-13,1,Réunion,Bermuda,14045.54,1,1,2,
IDYY81636,Calisto\CS-968,Mr. Brian Muller,M,2015-12-24,2021-11-08,2022-07-24,0,Denmark,Mozambique,8691.0,0,0,2,
IDXX86996,Adonis\AS-110,Mr. Tom Voller,M,1998-05-07,2021-02-12,2021-12-18,1,Monaco,Jordan,2925.08,1,1,2,
IDZZ96284,Omega\OG-949,Ms. Jolene Hennessey,F,2001-01-03,2021-04-04,2021-10-05,1,Ireland,Swaziland,9688.54,0,1,1,990.24
